,0
0,4444315.0
1,1242641.0
2,781491.0
3,700000.0
4,133704.0
5,2805476.0
6,1642294.0
7,937282.0
8,668202.0
9,440262.0
10,944110.0
11,1025000.0
12,1531979.0
13,1043598.0
14,307368.0
15,2182516.0
16,1700000.0
17,1123734.0
18,2700000.0
19,1319401.0
20,1930235.0
21,763966.0
22,2567346.0
23,524121.0
24,602928.0
25,1515264.0
26,913932.0
27,433716.0
28,1203300.0
29,1581030.0
30,608077.0
31,1498750.0
32,317183.0
33,565059.0
34,254901.0
35,999578.0
36,382787.0
37,1465641.0
38,1507325.0
39,90288.0
40,616428.0
41,2054972.0
42,361764.0
43,735796.0
44,1650000.0
45,144720.0
46,259682.0
47,644930.0
48,1400000.0
49,467428.0
50,1500000.0
51,595000.0
52,939603.0
53,782543.0
54,293232.0
55,661760.0
56,2597406.0
57,811182.0
58,674480.0
59,1472145.0
60,4885471.0
61,931048.0
62,1561792.0
63,1274508.0
64,353144.0
65,800000.0
66,1600000.0
67,1240055.0
68,1018095.0
69,503156.0
70,125892.0
71,1507820.0
72,1920000.0
73,789272.0
74,253392.0
75,965789.0
76,1291549.0
77,500000.0
78,700000.0
79,5000000.0
80,981414.0
81,287667.0
82,750000.0
83,1232856.0
84,2518336.0
85,179856.0
86,1022383.0
87,235379.0
88,1214724.0
89,309192.0
90,1232857.0
91,184092.0
92,256932.0
93,628944.0
94,649541.0
95,1485766.0
96,2300000.0
97,765632.0
98,415492.0
99,564816.0
100,180876.0
101,346152.0
102,1029200.0
103,112704.0
104,366514.0
105,1200000.0
106,515940.0
107,373817.0
108,1532945.0
109,2063316.0
110,1881045.0
111,180876.0
112,500434.0
113,677584.0
114,214107.0
115,542064.0
116,820544.0
117,322465.0
118,374832.0
119,1084680.0
120,2522438.0
121,443306.0
122,642322.0
123,261756.0
124,1294964.0
125,640566.0
126,1507343.0
127,621588.0
128,1057005.0
129,292968.0
130,421351.0
131,470717.0
132,652546.0
133,342084.0
134,2009790.0
135,1556582.0
136,1044365.0
137,314736.0
138,675000.0
139,537441.0
140,359583.0
141,712128.0
142,650484.0
143,588636.0
144,500857.0
145,755066.0
146,496798.0
147,562282.0
148,1200000.0
149,1244376.0
150,1622364.0
151,1289859.0
152,1284643.0
153,314292.0
154,1005277.0
155,880000.0
156,631299.0
157,1243165.0
158,344604.0
159,1150000.0
160,621583.0
161,1233390.0
162,2498867.0
163,2671464.0
164,1453427.0
165,735792.0
166,175272.0
167,624780.0
168,2239989.0
169,451723.0
170,1285125.0
171,362940.0
172,1814306.0
173,373260.0
174,1727725.0
175,683496.0
176,844641.0
177,829471.0
178,100743.0
179,1200000.0
180,1048552.0
181,797112.0
182,2647046.0
183,1221714.0
184,204841.0
185,646889.0
186,806162.0
187,366410.0
188,283200.0
189,787723.0
190,604401.0
191,304193.0
192,501630.0
193,1027381.0
194,993325.0
195,394920.0
196,1953624.0
197,814476.0
198,128988.0
199,642103.0
200,3808049.0
201,513852.0
202,372016.0
203,622188.0
204,967392.0
205,322188.0
206,1541229.0
207,1289859.0
208,1080483.0
209,115884.0
210,474309.0
211,209648.0
212,3626400.0
213,1284643.0
214,669083.0
215,1307815.0
216,695747.0
217,481017.0
218,1412565.0
219,2360899.0
220,886611.0
221,241176.0
222,185520.0
223,2066758.0
224,2000000.0
225,1772001.0
226,288960.0
227,1124740.0
228,713664.0
229,450000.0
230,729193.0
231,675384.0
232,1119904.0
233,1494696.0
234,1230982.0
235,1868000.0
236,1031658.0
237,154152.0
238,152940.0
239,100000.0
240,1800000.0
241,1231116.0
242,187488.0
243,670578.0
244,184932.0
245,390283.0
246,313380.0
247,367041.0
248,247678.0
249,1404773.0
250,488208.0
251,1019603.0
252,962755.0
253,563464.0
254,380000.0
255,1284643.0
256,624717.0
257,388898.0
258,954426.0
259,524121.0
260,5000000.0
261,1269639.0
262,207194.0
263,674844.0
264,307416.0
265,3141490.0
266,873885.0
267,2540253.0
268,2545237.0
269,544680.0
270,877015.0
271,676224.0
272,2266312.0
273,410185.0
274,464302.0
275,783002.0
276,363669.0
277,297492.0
278,916285.0
279,1513462.0
280,759321.0
281,406548.0
282,616428.0
283,1504836.0
284,1000000.0
285,562096.0
286,991010.0
287,1100233.0
288,400000.0
289,734050.0
290,125892.0
291,302200.0
292,522539.0
293,321876.0
294,1129307.0
295,1031658.0
296,1883009.0
297,338792.0
298,1555930.0
299,360588.0
300,362640.0
301,501630.0
302,499807.0
303,938652.0
304,2073969.0
305,1312312.0
306,1734062.0
307,1700000.0
308,1422701.0
309,967394.0
310,746051.0
311,844078.0
312,515940.0
313,1468099.0
314,875066.0
315,257976.0
316,845000.0
317,2052566.0
318,646214.0
319,1007334.0
320,370152.0
321,690356.0
322,542342.0
323,602066.0
324,564000.0
325,97836.0
326,786181.0
327,846156.0
328,3146934.0
329,1108068.0
330,1518492.0
331,2009767.0
332,715272.0
333,600000.0
334,502442.0
335,540000.0
336,1512297.0
337,677584.0
338,2612697.0
339,386026.0
340,1460635.0
